analysis_scenario,weights_specification,observations,missed_settlements,visited_settlements,permutations,seed,global_moran_i,expected_i,z_score,permutation_p_value
primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,2318,2179,139,999,20260730,0.020281067481948335,-0.00043159257660768235,2.267140442915826,0.026
sensitivity_distance_band_excluding_ambiguous,distance_band_9050m_binary_row_standardized,2318,2179,139,999,20260730,0.030441186305510372,-0.00043159257660768235,6.597646169524738,0.001
sensitivity_knn8_ambiguous_as_missed,knn_k8_binary_row_standardized,2562,2423,139,999,20260730,0.012754715748655695,-0.0003904724716907458,1.5190546057034726,0.14
