weights_specification,observations,minimum_neighbours,median_neighbours,maximum_neighbours,islands,connected_components,median_kth_neighbour_distance_m,maximum_kth_neighbour_distance_m,analysis_scenario
knn_k4_binary_row_standardized,2318,4,4.0,4,0,2,1784.7215643764343,10014.407576548192,primary_excluding_ambiguous
knn_k6_binary_row_standardized,2318,6,6.0,6,0,1,2217.325458178427,10862.24880048157,primary_excluding_ambiguous
knn_k8_binary_row_standardized,2318,8,8.0,8,0,1,2642.207903354457,12285.272837126755,primary_excluding_ambiguous
knn_k10_binary_row_standardized,2318,10,10.0,10,0,1,3057.7722897947315,12510.52658986643,primary_excluding_ambiguous
distance_band_9050m_binary_row_standardized,2318,2,44.0,109,0,1,,,sensitivity_distance_band_excluding_ambiguous
knn_k8_binary_row_standardized,2562,8,8.0,8,0,1,2479.0861806567673,12285.272837126755,sensitivity_knn8_ambiguous_as_missed
